Part,DeductionRecords,DeductionQty,DeductionAmount,DeductionTypes,DeductionReasons
3T-W,1,1.0,67.66,Misshipped,I got the wrong color. I wanted gray
LFC-2B,2,2.0,119.36,,
LFC-3B,1,1.0,98.35,Wayfair Managed Returns,no longer needed
MFC-D2-B,2,2.0,93.5,KEY,The unit came locked and there is no key；Missing Parts
MFC-D2-W,2,2.0,100.86,Missing Parts,
VFC-4B,1,1.0,152.51,Missing Parts,
