供应商SKU,Wayfair Listing,状态,中文名,类目,你的拿货成本,YB表Base Cost,Catalog当前Base Cost,当前B2B折扣,当前供货收入,美国前台价,Base/前台价,Wayfair Total Cost,平台空间金额,平台空间率,供货价竞争百分位,发货成本竞争百分位,退货客诉竞争百分位,5月订单数,5月回款额,5月毛利,5月毛利率,5月0回款订单数,YB历史订单数,YB历史回款额,YB历史毛利,YB历史毛利率,YB历史0回款订单数,YB首单日期,YB末单日期,客诉扣款记录数,客诉扣款金额,客诉扣款类型,客诉扣款原因,平台历史订单数,平台历史销售额,平台历史净毛利,平台历史毛利率,当前Base预估毛利,当前Base预估毛利率,YB大促2B利润率,25%毛利所需Base,按前台价70%上限Base,距25%目标Base差额,Catalog-YB Base差额,SKU价值分层,促销准入,定价分组,主要问题,建议动作
6D-locker,DMOM1045,"Live, Some Stores",6门书包柜,locker,85.0,144.5,145.0,10.0,130.5,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,37.66999999999999,0.2886590038314175,0.123867478025693,136.87600644122384,,-8.123993558776164,0.5,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
9D-locker,DMOM1046,"Live, Some Stores",9门书包柜,locker,92.0,156.4,156.0,10.0,140.4,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,39.976,0.2847293447293447,0.123867478025693,148.14814814814815,,-7.851851851851848,-0.4000000000000057,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
MFC-D3W,DMOM1055,Unpurchasable,,,68.0,125.0,125.0,,125.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,49.5,0.396,0.16,98.55072463768117,,-26.44927536231883,0.0,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
MFC-D2B,DMOM1056,Unpurchasable,2抽鹅颈活动柜黑色,文件柜,70.0,130.0,130.0,,130.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,52.19999999999999,0.40153846153846146,0.166515837104072,101.44927536231884,,-28.550724637681157,0.0,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
MFC-D3B,DMOM1055,Unpurchasable,,,68.0,125.0,125.0,,118.75,,,141.178093659,52.811906341,0.2722403543533171,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,43.625,0.36736842105263157,0.16,98.55072463768117,,-26.44927536231883,0.0,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
MFC-D2W,DMOM1056,Unpurchasable,2抽鹅颈活动柜白色,文件柜,70.0,130.0,130.0,,123.5,,,148.650390516,55.33960948400002,0.2712858938379333,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,46.08999999999999,0.37319838056680155,0.166515837104072,101.44927536231884,,-28.550724637681157,0.0,N,新品不进大促,待确认价格,缺少美国前台价，不能做提价/促销判断,先确认是否仍可售或仅部分店铺可售
MK-WB001B,DMOM1006,Live,,,,,179.99,10.0,161.991,249.99,0.7199887995519821,196.794807356,53.195192644,0.2127892821472859,0.85,0.38,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,174.993,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
YB-CW12A0720,DMOM1007,Live,,,,,220.0,10.0,198.0,289.99,0.7586468498913755,244.875315179,45.114684821,0.1555732432876995,0.09,1.0,0.45,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,202.993,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
YB-CW12S0768,DMOM1008,Live,,,,,28.0,10.0,25.2,51.99,0.5385651086747452,39.113340915,12.876659085,0.2476756892671667,0.14,0.86,1.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,36.393,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
YB-MSE3400003,DMOM1009,Live,,,,,245.0,10.0,220.5,365.99,0.6694171971911801,281.016635736,84.973364264,0.2321740054755594,0.18,1.0,0.45,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,256.193,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
YB-CW12S0714,IFOM4699,Live,,,,,130.0,10.0,117.0,109.99,1.1819256296026912,145.645648524,22.344351476000018,0.1330100093815109,0.0,0.91,1.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,76.993,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
YB-CW12Y0719,DMOM1012,Live,,,,,105.0,10.0,94.5,136.99,0.7664793050587634,118.958360057,18.031639943000016,0.1316274176436237,0.0,1.0,0.89,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,95.893,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
YB- CW12X0718,DMOM1011,Live,,,,,155.0,10.0,139.5,207.99,0.7452281359680754,172.725253258,35.264746742,0.1695502030963027,0.0,0.64,0.36,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,145.593,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
YB-CW12H0689,DMOM1013,Live,,,,,235.0,10.0,211.5,309.99,0.7580889706119552,259.227414698,50.76258530199999,0.163755557605084,0.25,0.83,0.33,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,,,,,216.993,,,N,新品不进大促,待补成本,缺少你的拿货成本,先补产品上架成本，再决定 Base Cost
5T-1600-800,DMOM1000,Live,,,43.0,85.0,85.0,10.0,76.5,119.99,0.7083923660305026,93.919706809,26.07029319099999,0.217270549137428,0.5,0.31,0.41,,,,,,2.0,153.0,57.82,0.37790849673202614,0.0,2025-11-02 00:00:00,2025-11-20 00:00:00,,,,,2,153.0,57.82,0.377908496732026,28.909999999999997,0.3779084967320261,0.218526031102096,69.24315619967794,83.993,-15.75684380032206,0.0,C,禁止促销/先修复,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
3T-B,DMOM1017,Live,3层置物架-黑,,43.0,70.0,70.0,10.0,63.0,91.99,0.7609522774214589,79.267171493,12.722828506999988,0.1383066475377757,0.0,0.35,0.0,,,,,,2.0,126.0,32.44,0.25746031746031744,0.0,2025-10-16 00:00:00,2026-02-16 00:00:00,,,,,2,126.0,32.44,0.257460317460317,16.22,0.25746031746031744,0.0939244663382594,69.24315619967794,64.39299999999999,-0.7568438003220592,0.0,C,禁止促销/先修复,新品观察,成交样本不足；大促2B利润率低于12%；平台空间偏低；Base/前台价高于72%,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够
VFC-5W,DMOM1028,Live,窄卡5抽白色,文件柜,105.5,170.0,170.0,10.0,153.0,239.99,0.7083628484520188,187.474511474,52.51548852600001,0.2188236531772157,0.48,0.35,0.39,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,38.31999999999999,0.25045751633986924,0.0866801893171062,169.88727858293075,167.993,-0.11272141706925254,0.0,N,新品不进大促,新品观察,成交样本不足；大促2B利润率低于12%,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够
VFC-2B,DMOM1026,Live,窄卡2抽黑色,文件柜,52.9,80.0,80.0,10.0,72.0,119.99,0.6667222268522377,93.288098201,26.701901799,0.2225343928577381,0.0,0.0,0.29,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,14.779999999999994,0.2052777777777777,0.0399425287356322,85.18518518518519,83.993,5.1851851851851904,0.0,N,新品不进大促,新品观察,成交样本不足；大促2B利润率低于12%,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够
MFC-D01,DMOM1031,Live,白灰套色金属2抽活动柜,文件柜,74.1,129.675,125.0,10.0,115.0,174.99,0.7143265329447397,138.141381897,51.84861810300001,0.2729018269540502,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,34.0,0.2956521739130435,0.143185550082102,119.32367149758453,122.493,-5.676328502415473,-4.675000000000011,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
MFC-D02,DMOM1031,Live,黑色金属3抽转印圆弧活动柜,文件柜,84.0,147.0,140.0,10.0,128.8,194.99,0.717985537719883,153.622565837,56.36743416300001,0.2684291354969285,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,37.072,0.28782608695652173,0.143185550082102,135.2657004830918,136.493,-4.734299516908209,-7.0,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
MFC-D03,DMOM1031,Live,白色金属3抽圆弧活动柜,文件柜,81.4,142.45,135.0,10.0,124.2,189.99,0.7105637138796779,148.730247104,55.25975289600001,0.2708944207853326,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.347999999999985,0.2846054750402575,0.143185550082102,131.0789049919485,132.993,-3.921095008051509,-7.449999999999989,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
MFC-D04,DMOM1031,Live,白色金属3抽窄活动柜,文件柜,74.0,129.5,125.0,10.0,115.0,174.99,0.7143265329447397,137.902936029,52.08706397100002,0.2741568712616454,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,34.099999999999994,0.2965217391304347,0.143185550082102,119.16264090177134,122.493,-5.83735909822866,-4.5,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
CT-02,DMOM1037,Live,火烧云钢木半开合咖啡桌,咖啡桌,75.0,127.5,128.0,10.0,117.76,233.99,0.5470319244412154,155.678079577,78.311920423,0.3346806291850079,0.18,0.18,0.45,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,35.6944,0.3031114130434783,0.123867478025693,120.77294685990339,163.793,-7.227053140096615,0.5,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
PT01-WH,DMOM1038,Live,白色压型对开门餐厨柜,餐边柜,80.0,136.0,136.0,10.0,125.12,212.99,0.6385276304051833,159.469144485,53.52085551500002,0.2512834194797879,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,37.61279999999999,0.3006138107416879,0.123867478025693,128.8244766505636,149.093,-7.175523349436389,0.0,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
PT02-WH,DMOM1039,Live,白色压型上玻下铁中空对开门储物柜餐厨柜,餐边柜,95.0,161.5,162.0,10.0,149.04,249.99,0.6480259210368414,186.778244087,63.21175591300002,0.2528571379375176,0.55,0.18,0.09,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,45.09759999999997,0.3025872249060653,0.123867478025693,152.9790660225443,174.993,-9.020933977455712,0.5,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
CT-01,DMOM1040,Live,"火烧云钢木结合
半升降咖啡桌",咖啡桌,80.0,136.0,136.0,10.0,125.12,246.99,0.5506295801449451,164.110445663,82.879554337,0.3355583397586947,0.36,0.09,0.0,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,37.61279999999999,0.3006138107416879,0.123867478025693,128.8244766505636,172.893,-7.175523349436389,0.0,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
PT03-WH,DMOM1042,Live,白色压型通对玻储物柜餐厨柜,餐边柜,95.0,161.5,162.0,10.0,149.04,249.99,0.6480259210368414,186.479740826,63.510259174,0.2540511987439497,0.5,0.0,0.18,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,45.09759999999997,0.3025872249060653,0.123867478025693,152.9790660225443,174.993,-9.020933977455712,0.5,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
PT04-WH,DMOM1043,Live,白色金属上对开下2抽压型储物柜,餐边柜,100.0,170.0,170.0,10.0,156.4,259.99,0.6538713027424131,194.197349279,65.792650721,0.2530583896342167,0.33,0.1,0.36,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,47.01599999999999,0.3006138107416879,0.123867478025693,161.0305958132045,181.993,-8.969404186795487,0.0,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
PT05-WH,DMOM1044,Live,白色金属中对开压型储物柜,餐边柜,58.0,98.6,99.0,10.0,91.08,169.99,0.5823871992470145,117.655349922,52.33465007800001,0.3078689927525149,0.29,0.05,0.47,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,27.615199999999987,0.3031971892841457,0.123867478025693,93.39774557165862,118.993,-5.602254428341382,0.4000000000000057,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
W3D-G-locker,DMOM1047,Live,3门更衣柜灰色,locker,130.0,221.0,221.0,10.0,203.32,319.99,0.6906465827057096,253.386586223,66.60341377700001,0.2081421724960155,0.69,0.51,0.46,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,61.120799999999974,0.30061381074168786,0.123867478025693,209.33977455716587,223.993,-11.660225442834133,0.0,N,新品不进大促,新品观察,成交样本不足,先不提Base，保留当前价格做成交验证；有3单以上再复核
LFC-4B-400,DMOM1054,Live,宽卡4抽黑色,文件柜,113.22,180.0,180.0,10.0,165.6,279.99,0.6428801028608164,204.831424154,55.15857584600002,0.2121565285049425,0.0,0.05,0.1,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,42.44399999999999,0.2563043478260869,0.0770114942528736,182.31884057971016,195.993,2.3188405797101552,0.0,N,新品不进大促,新品观察,成交样本不足；大促2B利润率低于12%,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够
LFC-4W-400,DMOM1053,Live,宽卡4抽白色,文件柜,113.22,180.0,180.0,10.0,165.6,279.99,0.6428801028608164,204.831424154,55.15857584600002,0.2121565285049425,0.43,0.48,0.26,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,42.44399999999999,0.2563043478260869,0.0770114942528736,182.31884057971016,195.993,2.3188405797101552,0.0,N,新品不进大促,新品观察,成交样本不足；大促2B利润率低于12%,先不提Base，保留当前价格做成交验证；有3单以上再复核；禁止深折扣促销，当前促销利润不够
LFC-2B-680,DMOM1021,Live,680宽二抽-黑,文件柜,64.2,120.0,120.0,10.0,108.0,165.99,0.7229351165732875,128.080055419,37.90994458100002,0.2283869183746009,0.48,0.05,0.0,11.0,1182.0,404.88,0.3425380710659898,0.0,56.0,5920.8,1906.152,0.32194162950952576,1.0,2025-11-14 00:00:00,2026-06-03 00:00:00,,,,,56,5920.8,1906.152,0.321941629509526,37.31999999999999,0.3455555555555555,0.185057471264368,103.3816425120773,116.193,-16.618357487922694,0.0,A,可参加5%-10%轻促,维持观察,历史存在0回款/异常订单；Base/前台价高于72%,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
4T-Kayak,DMOM1003,Live,,,75.0,140.0,140.0,10.0,126.0,194.99,0.717985537719883,154.759155109,40.230844891,0.2063226057284989,1.0,0.82,0.0,6.0,749.0,254.06,0.3391989319092123,0.0,42.0,5206.6,1917.964,0.36837168209580146,0.0,2025-08-19 00:00:00,2026-06-03 00:00:00,,,,,42,5206.6,1917.964,0.368371682095802,43.44,0.34476190476190477,0.18423645320197,120.77294685990339,136.493,-19.227053140096615,0.0,A,可参加5%-10%轻促,维持观察,供货价竞争百分位偏高；发货成本竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；优先复核包裹尺寸、发货方式、仓库位置
MFC-D2-W,DMOM1020,Live,2抽鹅颈活动柜白色,文件柜,70.0,110.0,110.0,10.0,99.0,154.99,0.7097232079488999,119.59825027,35.391749730000015,0.2283486013936383,0.55,0.0,0.0,6.0,594.0,138.35999999999999,0.2329292929292929,0.0,41.0,3885.2,782.088,0.2012992896118604,1.0,2025-11-23 00:00:00,2026-05-28 00:00:00,2.0,100.86,Missing Parts,,41,3885.2,681.227999999999,0.175339236075363,23.059999999999988,0.23292929292929282,0.0685475444096134,112.72141706924316,108.493,2.7214170692431594,0.0,B,禁止促销/先修复,维持观察,真实订单毛利率一般；历史存在0回款/异常订单；YB客诉扣款有记录；大促2B利润率低于12%,维持Base Cost，促销不超过5%，先看库存和转化；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量
LFC-2B,DMOM1018,Live,宽卡2抽黑色,文件柜,75.4,135.0,135.0,10.0,121.5,193.99,0.6959121604206402,150.001873518,43.98812648200001,0.2267546083921852,0.71,0.14,0.1,6.0,729.0,232.86,0.3194238683127572,0.0,36.0,4155.3,1256.5120000000002,0.302387793901764,1.0,2025-12-01 00:00:00,2026-06-03 00:00:00,2.0,119.36,,,36,4155.3,1137.152,0.273663032753351,38.80999999999999,0.3194238683127571,0.158024691358025,121.4170692431562,135.793,-13.582930756843794,0.0,A,谨慎参加5%轻促,维持观察,历史存在0回款/异常订单；YB客诉扣款有记录；供货价竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量
5T-1980-1200,DMOM1000,Live,,,60.0,120.0,120.0,10.0,108.0,172.99,0.6936817157061101,134.633017142,38.35698285800001,0.2217294806520608,0.78,0.44,0.38,5.0,534.0,201.96,0.37820224719101125,0.0,31.0,3096.0,1110.24,0.3586046511627907,2.0,2025-08-26 00:00:00,2026-06-04 00:00:00,,,,,30,2988.0,1068.72,0.357670682730924,41.519999999999996,0.3844444444444444,0.225287356321839,96.61835748792271,121.093,-23.381642512077292,0.0,A,禁止促销/先修复,维持观察,历史存在0回款/异常订单；供货价竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
VFC-3B,DMOM1019,Live,窄卡3抽黑色,文件柜,70.9,120.0,120.0,10.0,108.0,163.99,0.7317519360936642,128.243424402,35.74657559800002,0.2179802158546254,0.4,0.15,0.3,4.0,426.0,116.84,0.2742723004694836,0.0,44.0,4549.2,1181.628,0.25974413083619097,1.0,2025-11-27 00:00:00,2026-06-01 00:00:00,,,,,44,4549.2,1181.628,0.259744130836191,30.61999999999999,0.28351851851851845,0.12088122605364,114.170692431562,114.79299999999999,-5.829307568437997,0.0,C,禁止促销/先修复,维持观察,历史存在0回款/异常订单；Base/前台价高于72%,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
5T-1830-1200,DMOM1000,Live,,,68.0,140.0,140.0,10.0,126.0,197.99,0.7071064195161372,154.536116097,43.45388390300002,0.2194751447194303,0.97,0.69,0.31,2.0,238.0,87.72,0.36857142857142855,0.0,18.0,2093.0,743.42,0.3551935021500239,1.0,2025-08-31 00:00:00,2026-05-29 00:00:00,,,,,18,2093.0,743.42,0.355193502150024,50.44,0.4003174603174603,0.241707717569787,109.50080515297907,138.593,-30.49919484702093,0.0,B,禁止促销/先修复,维持观察,5月成交样本不足；历史存在0回款/异常订单；供货价竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
MFC-D2-B,DMOM1020,Live,2抽鹅颈活动柜黑色,文件柜,70.0,110.0,110.0,10.0,99.0,157.99,0.6962465978859421,122.176667594,35.813332406000015,0.2266810076966897,0.55,0.77,0.0,1.0,99.0,23.06,0.2329292929292929,0.0,71.0,6748.5,1373.59,0.20354004593613395,1.0,2025-10-30 00:00:00,2026-06-04 00:00:00,2.0,93.5,KEY,The unit came locked and there is no key；Missing Parts,70,6649.5,1257.03,0.189041281299346,23.059999999999988,0.23292929292929282,0.0685475444096134,112.72141706924316,110.593,2.7214170692431594,0.0,B,禁止促销/先修复,维持观察,5月成交样本不足；真实订单毛利率一般；历史存在0回款/异常订单；YB客诉扣款有记录；大促2B利润率低于12%；发货成本竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；优先复核包裹尺寸、发货方式、仓库位置；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量
LFC-2W-680,DMOM1021,Live,680宽二抽-白,文件柜,64.2,120.0,120.0,10.0,108.0,165.99,0.7229351165732875,127.973810197,38.016189803,0.2290269883908669,0.48,0.38,0.0,1.0,102.0,31.68,0.31058823529411766,0.0,61.0,6330.0,2034.0,0.32132701421800947,1.0,2025-11-17 00:00:00,2026-06-04 00:00:00,,,,,60,6225.6,2000.064,0.321264456437934,37.31999999999999,0.3455555555555555,0.185057471264368,103.3816425120773,116.193,-16.618357487922694,0.0,A,禁止促销/先修复,维持观察,5月成交样本不足；历史存在0回款/异常订单；Base/前台价高于72%,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
LFC-3W,DMOM1025,Live,宽卡3抽白色,文件柜,90.94,155.0,155.0,10.0,139.5,219.99,0.7045774807945815,170.554990511,49.43500948900001,0.2247148028955862,0.6,0.6,0.1,1.0,139.5,40.19,0.2881003584229391,0.0,51.0,6545.65,1638.816,0.2503671904241749,3.0,2025-11-19 00:00:00,2026-05-18 00:00:00,,,,,51,6545.65,1638.816,0.250367190424175,40.19,0.2881003584229391,0.125621060437523,146.44122383252818,153.993,-8.55877616747182,0.0,A,谨慎参加5%轻促,维持观察,5月成交样本不足；历史存在0回款/异常订单,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
LFC-4B,DMOM1027,Live,宽卡4抽黑色,文件柜,113.22,200.0,200.0,10.0,180.0,285.99,0.6993251512290639,223.440714505,62.54928549500002,0.2187114426903039,0.76,0.38,0.29,1.0,170.0,46.58,0.27399999999999997,0.0,41.0,6960.0,1900.38,0.27304310344827587,1.0,2025-11-26 00:00:00,2026-05-19 00:00:00,,,,,41,6960.0,1900.38,0.273043103448276,55.97999999999999,0.31099999999999994,0.149310344827586,182.31884057971016,200.19299999999998,-17.681159420289845,0.0,B,禁止促销/先修复,维持观察,5月成交样本不足；历史存在0回款/异常订单；供货价竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
LFC-3B,DMOM1025,Live,宽卡3抽黑色,文件柜,90.48,155.0,155.0,10.0,139.5,219.99,0.7045774807945815,170.821228108,49.168771891999995,0.2235045769898631,0.6,0.6,0.3,1.0,131.75,33.365,0.2532447817836812,0.0,23.0,3123.25,854.815,0.27369406867845997,0.0,2025-12-08 00:00:00,2026-05-19 00:00:00,1.0,98.35,Wayfair Managed Returns,no longer needed,23,3123.25,756.465,0.242204434483311,40.64999999999999,0.2913978494623655,0.129032258064516,145.70048309178745,153.993,-9.299516908212553,0.0,B,谨慎参加5%轻促,维持观察,5月成交样本不足；YB客诉扣款有记录,维持Base Cost，促销不超过5%，先看库存和转化；先复盘客诉扣款原因，再决定是否促销或放量
VFC-4B,DMOM1023,Live,窄卡4抽黑色,文件柜,87.3,140.0,140.0,10.0,126.0,199.99,0.7000350017500875,155.307402144,44.682597856,0.2234241604880244,0.55,0.23,0.05,1.0,119.0,24.56,0.20638655462184874,0.0,17.0,1960.0,358.3,0.1828061224489796,1.0,2025-11-29 00:00:00,2026-05-14 00:00:00,1.0,152.51,Missing Parts,,17,1960.0,205.79,0.104994897959184,31.14,0.24714285714285714,0.0832512315270936,140.57971014492753,139.993,0.5797101449275317,0.0,C,禁止促销/先修复,维持观察,5月成交样本不足；真实订单毛利率一般；历史存在0回款/异常订单；YB客诉扣款有记录；大促2B利润率低于12%,维持Base Cost，促销不超过5%，先看库存和转化；禁止深折扣促销，当前促销利润不够；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价；先复盘客诉扣款原因，再决定是否促销或放量
LFC-2W,DMOM1018,Live,宽卡2抽白色,文件柜,75.4,135.0,135.0,10.0,121.5,192.99,0.699518109746619,148.869210265,44.12078973500002,0.2286169735996684,0.71,0.19,0.05,1.0,121.5,38.81,0.3194238683127572,0.0,16.0,1669.95,363.353,0.21758316117249019,2.0,2025-11-16 00:00:00,2026-05-18 00:00:00,,,,,16,1669.95,363.353,0.21758316117249,38.80999999999999,0.3194238683127571,0.158024691358025,121.4170692431562,135.093,-13.582930756843794,0.0,B,暂不促销,维持观察,5月成交样本不足；历史存在0回款/异常订单；供货价竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
6T-2095-122,DMOM1000,Live,,,70.0,150.0,150.0,10.0,135.0,209.99,0.714319729510929,163.847446136,46.14255386400001,0.2197369106338397,1.0,0.65,0.32,1.0,135.0,56.9,0.42148148148148146,0.0,12.0,1470.0,541.8,0.36857142857142855,1.0,2025-09-20 20:46:02,2026-05-06 00:00:00,,,,,12,1470.0,541.8,0.368571428571428,56.89999999999999,0.4214814814814814,0.26360153256705,112.72141706924316,146.993,-37.27858293075684,0.0,B,禁止促销/先修复,维持观察,5月成交样本不足；历史存在0回款/异常订单；供货价竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；把0回款/TT订单从常规利润复盘中单独标记，避免误判定价
3T-Kayak,DMOM1004,Live,,,58.0,110.0,110.0,10.0,99.0,145.99,0.7534762654976368,116.243992211,29.746007789000004,0.203753735111994,0.82,0.0,0.45,,,,,,11.0,1082.4,379.456,0.35056910569105687,0.0,2025-08-18 00:00:00,2026-01-12 00:00:00,,,,,14,1376.1,481.534,0.349926604171209,35.05999999999999,0.35414141414141403,0.193939393939394,93.39774557165862,102.193,-16.602254428341382,0.0,C,禁止促销/先修复,维持观察,5月无成交，仅历史订单支撑；Base/前台价高于72%；供货价竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化
2T-Kayak,DMOM1001,Live,,,50.0,95.0,95.0,10.0,85.5,129.99,0.7308254481113932,103.522564396,26.467435604,0.2036113209016078,0.73,0.09,1.0,,,,,,9.0,747.9499999999999,253.073,0.33835550504712886,0.0,2025-08-31 00:00:00,2025-11-29 00:00:00,,,,,9,747.95,253.073,0.338355505047129,30.36999999999999,0.35520467836257297,0.195039322444041,80.51529790660226,90.993,-14.484702093397743,0.0,C,禁止促销/先修复,维持观察,5月无成交，仅历史订单支撑；Base/前台价高于72%；供货价竞争百分位偏高；客诉退货竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；回看Customer Feedback/退货原因，修说明、包装或质量
VFC-5B,DMOM1028,Live,窄卡5抽黑色,文件柜,105.3,170.0,170.0,10.0,153.0,249.99,0.6800272010880435,195.145877694,54.844122306,0.2193852646345853,0.48,0.78,0.39,,,,,,3.0,459.0,115.56,0.25176470588235295,0.0,2025-12-27 00:00:00,2026-03-06 00:00:00,,,,,3,459.0,115.56,0.251764705882353,38.519999999999996,0.2517647058823529,0.0880324543610548,169.56521739130434,174.993,-0.4347826086956559,0.0,C,暂不促销,维持观察,5月无成交，仅历史订单支撑；大促2B利润率低于12%；发货成本竞争百分位偏高,维持Base Cost，促销不超过5%，先看库存和转化；优先复核包裹尺寸、发货方式、仓库位置；禁止深折扣促销，当前促销利润不够
