供应商SKU,状态,Wayfair Listing/SKU,目录当前Base Cost,目录新Base Cost,当前B2B折扣,新B2B折扣,新B2B Base Cost,当前MAP(USD),新MAP(USD),当前MSRP(USD),新MSRP(USD),Castlegate目标数量,Castlegate清仓折扣,Castlegate清仓MAP,Castlegate库存,美国前台价,加拿大前台价,加拿大法语前台价,Cost Stack净零售价,Cost Stack Base Cost,Wholesale Cost,Total Cost,出仓成本,客诉退货成本,产品津贴成本,其他操作成本,B2C折扣,平台空间金额,平台空间率,供货价竞争百分位,发货成本竞争百分位,客诉退货竞争百分位,两份Catalog是否一致,Catalog与CostStack Base差额,Base Cost/美国前台价,定价诊断,定价处理建议
YB-CW12Y0719,Live,DMOM1012,105,,10,,,,,,,,,,,136.99,257.99,257.99,136.99,105.0,94.5,118.958360057,16.44927568,7.1512,-5.67,6.527884377,-0.1,18.031639943000016,0.13162741764362373,0.0,1.0,0.89,True,0.0,0.7664793050587634,Base Cost / 前台价偏高；发货成本竞争力弱；客诉退货成本竞争力弱,谨慎调高Base Cost，优先优化成本结构；复核包裹尺寸/配送方式；回查Customer Feedback和退货原因
YB- CW12X0718,Live,DMOM1011,155,,10,,,,,,,,,,,207.99,369.99,369.99,207.99,155.0,139.5,172.725253258,22.65148141,9.738351,-8.37,9.205420848,-0.1,35.264746742,0.1695502030963027,0.0,0.64,0.36,True,0.0,0.7452281359680754,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
YB-CW12H0689,Live,DMOM1013,235,,10,,,,,,,,,,,309.99,559.99,559.99,309.99,235.0,211.5,259.227414698,32.20172764,15.258837,-12.69,12.956850058,-0.1,50.76258530199999,0.163755557605084,0.25,0.83,0.33,True,0.0,0.7580889706119552,Base Cost / 前台价偏高；发货成本竞争力弱,谨慎调高Base Cost，优先优化成本结构；复核包裹尺寸/配送方式
3T-B,Live,DMOM1017,70,,10,,,,,,,,,,,91.99,189.99,189.99,91.99,70.0,63.0,79.267171493,10.36726408,3.866968,-3.78,5.812939413,-0.1,12.722828506999988,0.13830664753777572,0.0,0.35,0.0,True,0.0,0.7609522774214589,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
5T-dong-183-120,Live,DMOM1015,120,,10,,,,,,,,,,,177.99,345.99,345.99,177.99,120.0,108.0,138.772705351,21.90390955,7.55553,-6.48,7.793265801,-0.1,39.217294648999996,0.2203342583796842,0.21,0.79,0.84,True,0.0,0.6741951795044665,发货成本竞争力弱；客诉退货成本竞争力弱,复核包裹尺寸/配送方式；回查Customer Feedback和退货原因
5T-dong-198-120,Live,DMOM1015,110,,10,,,,,,,,,,,164.99,319.99,319.99,164.99,110.0,99.0,128.661759485,20.97987133,7.348579,-5.94,7.273309155,-0.1,36.328240515000005,0.22018449915146374,0.16,0.63,0.95,True,0.0,0.6667070731559488,客诉退货成本竞争力弱,回查Customer Feedback和退货原因
5T-wangge,Live,DMOM1016,80,,10,,,,,,,,,,,114.99,199.99,199.99,114.99,80.0,72.0,89.707360691,11.64287275,4.970187,-4.32,5.414300941,-0.1,25.28263930899999,0.21986815643969032,0.55,0.09,0.91,True,0.0,0.6957126706670146,客诉退货成本竞争力弱,回查Customer Feedback和退货原因
3T-W,Live,DMOM1017,70,,10,,,,,,,,,,,92.99,193.99,193.99,92.99,70.0,63.0,80.339018842,10.53461371,4.771167,-3.78,5.813238132,-0.1,12.650981157999993,0.1360466841380793,0.0,0.0,0.59,True,0.0,0.7527691149585978,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
LFC-2B,Live,DMOM1018,135,,10,,,,,,,,,,,193.99,394.99,394.99,193.99,135.0,121.5,150.001873518,18.63488071,8.302772,-7.29,8.854220808,-0.1,43.98812648200001,0.22675460839218523,0.71,0.14,0.1,True,0.0,0.6959121604206402,供货价市场竞争力弱,复核采购成本或Base Cost
LFC-2W,Live,DMOM1018,135,,10,,,,,,,,,,,192.99,389.99,389.99,192.99,135.0,121.5,148.869210265,17.73159091,8.103432,-7.29,8.824187355,-0.1,44.12078973500002,0.22861697359966845,0.71,0.19,0.05,True,0.0,0.699518109746619,供货价市场竞争力弱,复核采购成本或Base Cost
