供应商SKU,状态,Wayfair Listing/SKU,目录当前Base Cost,目录新Base Cost,当前B2B折扣,新B2B折扣,新B2B Base Cost,当前MAP(USD),新MAP(USD),当前MSRP(USD),新MSRP(USD),Castlegate目标数量,Castlegate清仓折扣,Castlegate清仓MAP,Castlegate库存,美国前台价,加拿大前台价,加拿大法语前台价,Cost Stack净零售价,Cost Stack Base Cost,Wholesale Cost,Total Cost,出仓成本,客诉退货成本,产品津贴成本,其他操作成本,B2C折扣,平台空间金额,平台空间率,供货价竞争百分位,发货成本竞争百分位,客诉退货竞争百分位,两份Catalog是否一致,Catalog与CostStack Base差额,Base Cost/美国前台价,定价诊断,定价处理建议
W6D-G-locker,Live,DMOM1049,230,,10,,,,,,,,,,,334.99,569.99,569.99,334.99,230.0,211.6,264.439793222,27.42152221,23.160564,-12.696,14.953707012,-0.08,70.55020677800002,0.21060391885727936,0.75,0.51,0.66,True,0.0,0.6865876593331144,供货价市场竞争力弱,复核采购成本或Base Cost
LFC-4B-400,Live,DMOM1054,180,,10,,,,,,,,,,,279.99,509.99,509.99,259.99,180.0,165.6,204.831424154,24.5765785,13.302884,-9.936,11.287961654,-0.08,55.15857584600002,0.21215652850494257,0.0,0.05,0.1,True,0.0,0.6428801028608164,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
LFC-4W-400,Live,DMOM1053,180,,10,,,,,,,,,,,279.99,509.99,509.99,259.99,180.0,165.6,204.831424154,24.5765785,13.302884,-9.936,11.287961654,-0.08,55.15857584600002,0.21215652850494257,0.43,0.48,0.26,True,0.0,0.6428801028608164,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
MFC-D3W,Unpurchasable,DMOM1055,125,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
MFC-D2B,Unpurchasable,DMOM1056,130,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,True,,,缺少美国前台价；5月 Cost Stack 无匹配,先确认是否仍可售或是否仅部分店铺可售；等有效Cost Stack或用订单利润表补验
MFC-D3B,Unpurchasable,DMOM1055,125,,,,,,,,,,,,,,,,193.99,125.0,118.75,141.178093659,11.4359125,9.316327,-7.125,8.800854159,-0.05,52.811906341,0.27224035435331717,,,,True,0.0,,缺少美国前台价,先确认是否仍可售或是否仅部分店铺可售
MFC-D2W,Unpurchasable,DMOM1056,130,,,,,,,,,,,,,,,,203.99,130.0,123.5,148.650390516,13.10930401,10.291234,-7.41,9.159852506,-0.05,55.33960948400002,0.27128589383793333,,,,True,0.0,,缺少美国前台价,先确认是否仍可售或是否仅部分店铺可售
TOOL-A06,Live,DMOM1068,156.4,,,,,,,,,,,,,219.99,379.99,379.99,205.99,156.4,143.888,175.050751915,19.35971314,10.0347348,-8.63328,10.401583975,-0.08,30.939248085000003,0.1501978158405748,0.78,0.4,0.25,True,0.0,0.7109414064275649,供货价市场竞争力弱,复核采购成本或Base Cost
TOOL-B05,Live,DMOM1067,156.4,,,,,,,,,,,,,215.99,369.99,369.99,199.99,156.4,143.888,170.99943587,15.77673346,9.7968062,-8.63328,10.17117621,-0.08,28.990564129999996,0.14496006865343264,0.78,0.26,0.28,True,0.0,0.7241075975739617,Base Cost / 前台价偏高；供货价市场竞争力弱,谨慎调高Base Cost，优先优化成本结构；复核采购成本或Base Cost
TOOL-B04,Live,DMOM1069,132.6,,,,,,,,,,,,,183.99,319.99,319.99,169.99,132.6,121.992,145.815165759,13.85016931,8.2457132,-7.31952,9.046803249,-0.08,24.174834241000013,0.1422132727866346,0.69,0.32,0.13,True,0.0,0.7206913419207565,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
TOOL-B07,Live,DMOM1074,178.5,,,,,,,,,,,,,249.99,424.99,424.99,229.99,178.5,164.22,197.505340991,20.41159516,11.430257,-9.8532,11.296688831,-0.08,32.48465900900001,0.14124378889951741,0.88,0.44,0.27,True,0.0,0.7140285611424456,供货价市场竞争力弱,复核采购成本或Base Cost
TOOL-A02,Live,DMOM1070,110.5,,,,,,,,,,,,,154.99,269.99,269.99,143.99,110.5,101.66,122.515714767,11.88326101,7.00808,-6.0996,8.063973757,-0.08,21.474285233000003,0.1491373375442739,0.49,0.21,0.2,True,0.0,0.7129492225304858,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-A07,Live,DMOM1074,178.5,,,,,,,,,,,,,249.99,429.99,429.99,229.99,178.5,164.22,197.67204633,20.55620536,11.453256,-9.8532,11.29578497,-0.08,32.31795367000001,0.14051895156311148,0.88,0.44,0.27,True,0.0,0.7140285611424456,供货价市场竞争力弱,复核采购成本或Base Cost
TOOL-A03,Live,DMOM1062,103.7,,,,,,,,,,,,,145.99,254.99,254.99,135.99,103.7,95.404,115.702452946,11.56019344,6.7067314,-5.72424,7.755768106,-0.08,20.287547054000015,0.14918410952275912,0.42,0.2,0.33,True,0.0,0.7103226248373176,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-B03,Live,DMOM1062,127.5,,,,,,,,,,,,,175.99,299.99,299.99,162.99,127.5,117.3,138.893819832,11.79104581,8.080482,-7.038,8.760292022,-0.08,24.096180168000018,0.14783839602429608,0.65,0.21,0.36,True,0.0,0.7244729814193988,Base Cost / 前台价偏高,谨慎调高Base Cost，优先优化成本结构
TOOL-A04,Live,DMOM1069,127.5,,,,,,,,,,,,,178.99,309.99,309.99,165.99,127.5,117.3,141.327706489,14.14431484,8.0244,-7.038,8.896991649,-0.08,24.662293511,0.14857698361949515,0.65,0.34,0.13,True,0.0,0.712330297781999,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-B08,Live,DMOM1077,212.5,,,,,,,,,,,,,299.99,529.99,529.99,279.99,212.5,195.5,240.08438505,26.11122805,17.11356,-11.73,13.089597,-0.08,39.90561495,0.1425251435765563,0.27,0.37,0.61,True,0.0,0.7083569452315077,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-A01,Live,DMOM1072,76.5,,,,,,,,,,,,,108.99,189.99,189.99,101.99,76.5,70.38,86.690557944,8.62418722,5.446441,-4.2228,6.462729724,-0.08,15.29944205599999,0.15000923674870076,0.23,0.04,0.65,True,0.0,0.7018992568125516,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-B06,Live,DMOM1068,161.5,,,,,,,,,,,,,226.99,389.99,389.99,209.99,161.5,148.58,179.899919358,19.28960863,10.401842,-8.9148,10.543268728,-0.08,30.090080642000004,0.14329292176770322,0.8,0.39,0.29,True,0.0,0.7114850874487862,供货价市场竞争力弱,复核采购成本或Base Cost
TOOL-B02,Live,DMOM1070,110.5,,,,,,,,,,,,,154.99,269.99,269.99,143.99,110.5,101.66,122.643141,12.0216886,6.995381,-6.0996,8.0656714,-0.08,21.34685900000001,0.1482523716924787,0.49,0.23,0.2,True,0.0,0.7129492225304858,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-A08,Live,DMOM1077,212.5,,,,,,,,,,,,,299.99,529.99,529.99,279.99,212.5,195.5,240.13258845,26.15943145,17.11356,-11.73,13.089597,-0.08,39.85741155000002,0.14235298242794395,0.29,0.39,0.62,True,0.0,0.7083569452315077,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-A05,Live,DMOM1067,146.2,,,,,,,,,,,,,203.99,349.99,349.99,189.99,146.2,134.504,161.243223148,15.72475762,9.2903376,-8.07024,9.794367928,-0.08,28.74677685200001,0.1513067890520554,0.69,0.26,0.29,True,0.0,0.7167017991077993,定价结构暂无明显红灯,维持当前Base Cost，促销前再结合SKU准入
TOOL-B01,Live,DMOM1072,74.8,,,,,,,,,,,,,106.99,187.99,187.99,99.99,74.8,68.816,84.881288584,8.52620857,5.2845936,-4.12896,6.383446414,-0.08,15.108711415999991,0.15110222438243817,0.22,0.05,0.71,True,0.0,0.6991307598841013,客诉退货成本竞争力弱,回查Customer Feedback和退货原因
