"Grade","Score","Part","Listing","Name","Category","Status","Qty","Orders","Sales","Gross","Deduction","NetGross","HistMargin","Rating","Reviews","CR","Images","Units","Visits","AdSpend","AdSales","AdOrders","ROAS","PlatformMargin","PlatformPct","Reason","Action"
"B","41","LFC-2W","DMOM1018",,,"Live","16","16","1669.95","363.353","0","363.353","0.21758316117249","4.4","5","0.013","13","3","150","0","0","0","0","0","0","历史净毛利可用；历史销量稳定；历史净毛利率健康；高访问低转化；评分健康；评论样本偏少","观察优化款：先修转化和成本，再放预算"
"B","36","VFC-2W","DMOM1026",,,"Live","12","12","710.4","32.976","0","32.976","0.0464189189189189","4.67","3","0.014","6","2","71","0","0","0","0","0","0","历史净毛利偏薄；历史销量稳定；历史净毛利率偏低；评分优秀；评论样本偏少","观察优化款：先修转化和成本，再放预算；图片不足8张：优先补图"
"C","34","5T-1830-900","DMOM1000",,,"Live","9","9","551.8","113.692","0","113.692","0.206038419717289","4.5","8","0","9","2","54","0","0","0","0","0","0","历史净毛利偏薄；有一定销量；历史净毛利率健康；评分优秀；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留"
"C","34","5T-1600-800","DMOM1000",,,"Live","2","2","153","57.82","0","57.82","0.377908496732026","4.5","8","0","8","0","42","0","0","0","0","0","0","历史净毛利偏薄；销量样本少；历史净毛利率高；评分优秀；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留"
"C","29","2T-Kayak","DMOM1001",,,"Live","9","9","747.95","253.073","0","253.073","0.338355505047129","3.5","2","0","9","0","11","0","0","0","0","0","0","历史净毛利可用；有一定销量；历史净毛利率高；评分低于4.0；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；评分低：先处理差评原因，不建议放量"
"C","27","VFC-4B","DMOM1023",,,"Live","17","17","1960","358.3","152.51","205.79","0.104994897959184","4.17","6","0.016","7","5","185","0","0","0","0","0","0","历史净毛利可用；历史销量稳定；历史净毛利率偏低；高访问低转化；评论样本偏少；存在客诉/扣款","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","25","5T-dong-198-120","DMOM1015",,,"Live","6","6","490.6","71.164","0","71.164","0.145055034651447","4.33","6","0","7","0","7","0","0","0","0","0","0","历史净毛利偏薄；有一定销量；历史净毛利率偏低；评分健康；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","21","VFC-5B","DMOM1028",,,"Live","3","3","459","115.56","0","115.56","0.251764705882353","0","0","0.031","7","1","32","0","0","0","0","0","0","历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","21","LFC-5B","DMOM1024",,,"Live","1","1","207","49.58","0","49.58","0.23951690821256","0","0","0.024","6","1","41","0","0","0","0","0","0","历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","21","LFC-5W","DMOM1024",,,"Live","1","2","207","49.58","0","49.58","0.23951690821256","0","0","0","6","0","65","0","0","0","0","0","0","历史净毛利偏薄；销量样本少；历史净毛利率健康；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","18","VF-ZH-4W","DMOM1029",,,"Live","17","17","2584.45","474.383","0","474.383","0.183552786859873","3.33","6","0.004","10","3","258","0","0","0","0","0","0","历史净毛利可用；历史销量稳定；历史净毛利率偏低；高访问低转化；评分低于4.0；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；评分低：先处理差评原因，不建议放量"
"C","16","LFC-4W","DMOM1027",,,"Live","8","8","1236","256.08","0","256.08","0.207184466019417","3","4","0.01","6","1","101","0","0","0","0","0","0","历史净毛利可用；有一定销量；历史净毛利率健康；高访问低转化；评分低于4.0；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图；评分低：先处理差评原因，不建议放量"
"C","15","3T-B","DMOM1017",,,"Live","2","2","126","32.44","0","32.44","0.257460317460317","4","1","0.008","9","0","121","0","0","0","0","0","0","历史净毛利偏薄；销量样本少；历史净毛利率健康；高访问低转化；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留"
"C","12","3T-W","DMOM1017",,,"Live","8","8","490","116.6","67.66","48.94","0.0998775510204082","4","1","0.01","8","5","628","0","0","0","0","0","0","历史净毛利偏薄；有一定销量；历史净毛利率偏低；高访问低转化；评论样本偏少；存在客诉/扣款","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留"
"C","7","5T-Niudun","DMOM1005",,,"Live","3","3","178.2","32.508","0","32.508","0.182424242424242","0","0","0.009","6","1","111","0","0","0","0","0","0","历史净毛利偏薄；销量样本少；历史净毛利率偏低；高访问低转化；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","-20","5T-wangge","DMOM1016",,,"Live","3","3","0","-135","0","-135","0","4.33","3","0","7","0","42","0","0","0","0","0","0","历史净毛利为负或不足；销量样本少；历史利润率需复核；评分健康；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","-23","VFC-4W","DMOM1023",,,"Live","4","4","365.4","-6.124","0","-6.124","-0.016759715380405","4.17","6","0","7","1","77","0","0","0","0","0","0","历史净毛利为负或不足；销量样本少；历史利润率需复核；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留；图片不足8张：优先补图"
"C","-25","CW12S0768","",,,,"1","1","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","历史净毛利为负或不足；销量样本少；历史利润率需复核；评论样本偏少","谨慎款：暂停低效广告，复核价格/利润/客诉后再决定是否保留"
"N","0","T2398P154416","VFC-2W","窄卡2抽白色","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P354183","CT-01","火烧云钢木结合
半升降咖啡桌","咖啡桌",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P350191","PT05-WH","白色金属中对开压型储物柜","餐边柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P413027","Pantry-08","白色金属上下对开门K字储物柜","餐边柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P171203","MFC-D2-W","2抽鹅颈活动柜白色","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","W2735P332345","record-desk-Black","黑色铁木结合柜门带插座掀盖唱片桌","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P465981","","白色金属等六抽斗柜","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P442669","P442669","黑色金属矮文件柜（2层板）","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P171197","MFC-D2-B","2抽鹅颈活动柜黑色","文件柜",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P160411","5T-1830-1200","","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P282146","W6D-B-locker待上架变体","6门更衣柜黑色","locker",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P403867","Bed-78-1","黑色金属带床垫带床头板带储物袋折叠床L190*W78*H33cm
75*31*17","床",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-B08","DMOM1077",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P442671","P442671","白色金属上下两门中镂空一抽屉浴室窄柜","",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","T2398P151995","W3D-G-locker","3门更衣柜灰色","locker",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
"N","0","TOOL-B05","DMOM1067",,,"Live","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","无历史订单/销售记录，按新品观察","小预算测款，先补图文与基础价格口径"
