Reporting Month,Supplier Part Id,Supplier Part Number,Brand Catalog,Wayfair Sku,Product Name,Class Name,Total Revenue,Total Revenue Mom,Total Revenue Yoy,Total Revenue B2B,Total Revenue Premium Brands,Total Orders,Total Orders B2B,Total Orders Premium Brands,Units Sold,Units Sold B2B,Units Sold Premium Brands,Sessions,Sessions Mom,Sessions Yoy,Sessions Percentage B2B,Unit Session Percentage,Unit Session Percentage B2B,Add To Cart Rate,Conversion Rate,Order To Delivery Stated,Order To Delivery Actual,Fill Rate Supplier,Actual Lost Sales,Option Combination Image Coverage,Required Tag Coverage,Sponsored Product Impressions (SKU Level),Sponsored Product Clicks (SKU Level),Sponsored Product Average Daily Spend (SKU Level),Sponsored Product Total Spend (SKU Level),Sponsored Product Attributed Revenue (SKU Level),Sponsored Product Attributed Orders (SKU Level),Sponsored Product Cost Per Click (SKU Level),Sponsored Product Return On Ad Spend Revenue (SKU Level),Sponsored Product Return On Ad Spend Retail Sales (SKU Level)
May 2026,137550682,6T-2095-122,Wayfair US,DMOM1000,"5-Tier Garage Storage Shelving Unit, Heavy Duty Adjustable Metal Rack with 2000 lbs Capacity, Utility Shelf for Garage, Basement, Kitchen & Warehouse, Black",Shelving & Racks,126.9,,,,126.9,1,,1,1,,1,39,1.4375,,0.05128205128205128,0.025641026,0,0,0.02564102564102564,4,2,,,1,0.75,5856,68,2.464,61.6,685.3,4,0.905882353,11.125,18.261850649
May 2026,137600183,8T-Kayak,Wayfair Canada (English),DMOM1002,"Freestanding 4-tier Kayak & Canoe Storage Rack With Side Gear Arms, Extra-deep Weather-resistant Frame, 82'' H, Black",Bike And Sport Racks,,,,,,,,,,,,2,-0.5,,,0,,0,0,,,,,1,0.90476190476190477,,,,,,,,,
May 2026,137600183,8T-Kayak,Wayfair Canada (French),DMOM1002,"Support de rangement autoportant pour kayaks et canoës à 4 niveaux avec accoudoirs latéraux, cadre très résistant aux intempéries, H 82 po, noir",Bike And Sport Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.90476190476190477,,,,,,,,,
May 2026,137600183,8T-Kayak,Wayfair US,DMOM1002,"Freestanding 4-tier Kayak & Canoe Storage Rack With Side Gear Arms, Extra-deep Weather-resistant Frame, 82'' H, Black",Bike And Sport Racks,,,,,,,,,,,,3,-0.88888888888888884,,,0,,0,0,,,,,1,0.90476190476190477,,,,,,,,,
May 2026,137600184,3T-Kayak,Wayfair Canada (English),DMOM1004,"Freestanding 3-tier Kayak & Canoe Storage Rack With Adjustable Arms, Weather-resistant Steel Frame, 41'' H, Black",Bike And Sport Racks,,,,,,,,,,,,2,,,,0,,0,0,,,,,1,0.90476190476190477,,,,,,,,,
May 2026,137600184,3T-Kayak,Wayfair Canada (French),DMOM1004,"Support autoportant à 3 niveaux pour kayaks et canoës avec accoudoirs réglables, structure en acier résistant aux intempéries, H 41 po, noir",Bike And Sport Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.90476190476190477,,,,,,,,,
May 2026,137600184,3T-Kayak,Wayfair US,DMOM1004,"Freestanding 3-tier Kayak & Canoe Storage Rack With Adjustable Arms, Weather-resistant Steel Frame, 41'' H, Black",Bike And Sport Racks,,,,,,,,,,,,2,0,,,0,,0,0,,,,,1,0.90476190476190477,,,,,,,,,
May 2026,137600188,2T-Kayak,Wayfair Canada (English),DMOM1001,"Freestanding 2-tier Kayak & Canoe Storage Rack With Adjustable Arms, Weather-resistant Steel Frame, 28'' H, Black",Bike And Sport Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.8571428571428571,,,,,,,,,
May 2026,137600188,2T-Kayak,Wayfair Canada (French),DMOM1001,"Support autoportant à 2 niveaux pour kayaks et canoës avec accoudoirs réglables, structure en acier résistant aux intempéries, H 28 po, noir",Bike And Sport Racks,,,,,,,,,,,,,,,,,,,,,,,,1,0.8571428571428571,,,,,,,,,
May 2026,137600188,2T-Kayak,Wayfair US,DMOM1001,"Freestanding 2-tier Kayak & Canoe Storage Rack With Adjustable Arms, Weather-resistant Steel Frame, 28'' H, Black",Bike And Sport Racks,,,,,,,,,,,,1,0,,1,0,0,0,0,,,,,1,0.8571428571428571,,,,,,,,,
