Promotion Name,Promotion Start Date,Promotion End Date,Class,Store,Product Part #,Revenue 30 Days Prior,Avg Daily Revenue Prior 30 Days,Revenue During Promotion,Avg Daily Revenue During Promotion,Revenue Post 30 Days,Avg Daily Revenue Post 30 Days,# of Units Sold 30 Days Prior,Avg Daily Units Sold Prior 30 Days,# of Units Sold During Promotion,Avg Daily Units Sold During Promotion,# of Units Sold Post 30 Days,Avg Daily Units Sold Post 30 Days,Discount Percent,Impressions,Conversion Rate
NA 5 Days of Deals - December 2025,2025-12-08,2025-12-13,Filing Cabinets,Wayfair US,LFC-2W-680,891.27,29.71,101.52,16.92,1096.41,36.55,10,0.33,1,0.17,11,0.37,10,18,0
NA 5 Days of Deals - December 2025,2025-12-08,2025-12-13,Filing Cabinets,Wayfair US,LFC-3W,878.87,29.3,384.65,64.11,1145.2,38.17,9,0.3,3,0.5,9,0.3,10,4,25
NA 5 Days of Deals - December 2025,2025-12-08,2025-12-13,Filing Cabinets,Wayfair US,MFC-D2-B,180.04,6,90.99,15.17,814.8,27.16,3,0.1,1,0.17,9,0.3,10,4,25
NA 5 Days of Deals - December 2025,2025-12-08,2025-12-13,Filing Cabinets,Wayfair US,MFC-D2-W,88.03,2.93,93.06,15.51,910.96,30.37,2,0.07,1,0.17,9,0.3,10,1,0
NA 5 Days of Deals - December 2025,2025-12-08,2025-12-13,Filing Cabinets,Wayfair US,VF-ZH-4B,460.83,15.36,313.02,52.17,754.71,25.16,3,0.1,2,0.33,5,0.17,10,11,9.0909090909090917
NA 5 Days of Deals - December 2025,2025-12-08,2025-12-13,Filing Cabinets,Wayfair US,VF-ZH-4W,156.51,5.22,156.51,26.09,754.71,25.16,1,0.03,1,0.17,4,0.13,10,3,33.333333333333329
NA 5 Days of Deals - December 2025,2025-12-08,2025-12-13,Filing Cabinets,Wayfair Canada (English),VFC-2W,68.64,2.29,134.94,22.49,0,0,1,0.03,2,0.33,0,0,10,4,25
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Bike And Sport Racks,Wayfair US,4T-Kayak,236.88,7.9,111.86,18.64,111.86,3.73,2,0.07,1,0.17,1,0.03,10,,
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Shelving & Racks,Wayfair US,5T-dong-183-120,0,0,95.88,15.98,197.4,6.58,0,0,1,0.17,2,0.07,10,2,50
NA 5 Days of Deals - January 2026,2026-01-29,2026-02-03,Shelving & Racks,Wayfair Canada (English),6T-2095-122,0,0,124.95,20.83,0,0,0,0,1,0.17,0,0,10,3,33.333333333333329
