"置信度","分数","仓库SKU","仓库品名","仓库数","可用量","锁定量","待到货","调拨在途","总可售含在途","Wayfair店铺SKU","SupplierPart","YB中文名","类目","拿货成本","BaseCost","匹配依据"
"高","95","B01PF-001WM","白色金属整装2抽活动柜","4","257","0","0","35","292","MFC-D2-W","T2398P171203","2抽鹅颈活动柜白色","文件柜","70","110","仓库SKU规则推断：MFC-D2-W"
"高","95","B01VF-004WM","白色金属5抽窄卡","4","232","2","0","128","360","VFC-5W","T2398P154425","窄卡5抽白色","文件柜","105.5","170","仓库SKU规则推断：VFC-5W"
"高","95","B02BF-010BM","黑色金属带床头板宽116折叠床","4","232","0","0","0","232","Bed-116-1","T2398P403869","黑色金属带床头板折叠床L190*W116*H33cm
75*46*17","床","160","272","仓库SKU规则推断：Bed-116-1"
"高","95","B01VF-002WM","白色金属3抽窄卡","4","228","1","0","232","460","VFC-3W","T2398P154419","窄卡3抽白色","文件柜","70.9","120","仓库SKU规则推断：VFC-3W"
"高","95","B01VF-012BM","黑色金属带轮4抽窄卡","4","225","1","0","283","508","VFC-4B-wheel","T2398P310002","窄四黑带轮子套装","文件柜","91.1","159.425","仓库SKU规则推断：VFC-4B-wheel"
"高","95","B01PF-002WM","白色金属整装3抽活动柜","4","209","0","0","20","229","MFC-D3-W","T2398P152000","3抽鹅颈活动柜白色","文件柜","68","105","仓库SKU规则推断：MFC-D3-W"
"高","95","B01KS-004BM","黑色金属4层双边皮划艇架","5","194","0","0","0","194","4T-Kayak","T2398P305831","","","75","140","仓库SKU规则推断：4T-Kayak"
"高","95","B01VF-001BM","黑色金属2抽窄卡","4","191","14","0","348","539","VFC-2B","T2398P154414","窄卡2抽黑色","文件柜","52.9","80","仓库SKU规则推断：VFC-2B"
"高","95","B01PF-002BM","黑色金属整装3抽活动柜","4","183","4","0","20","203","MFC-D3-B","T2398P152001","3抽鹅颈活动柜黑色","文件柜","68","105","仓库SKU规则推断：MFC-D3-B"
"高","94","B03PF-002WM","白色金属3抽圆弧活动柜","4","181","2","0","10","191","MFC-D03","T2398P391280","白色金属3抽圆弧活动柜","文件柜","81.4","142.45","中文名包含、活动柜、白、3抽"
"高","95","B02UR-001WM","白色金属3层置物架","4","172","0","0","123","295","3T-W","T2398P211228","3层置物架-白","","43","70","仓库SKU规则推断：3T-W"
"高","94","B03PF-002BM","黑色金属3抽转印圆弧活动柜","4","166","0","0","13","179","MFC-D02","T2398P391279","黑色金属3抽转印圆弧活动柜","文件柜","84","147","中文名包含、活动柜、黑、3抽"
"高","94","B03AM-003WM","白色金属对开门下2抽百叶窗衣柜","4","164","0","0","50","214","","T2398P480393","白色金属对开门下2抽百叶窗衣柜","","110","187","中文名包含、对开门、白、2抽"
"高","95","B01PF-001BM","黑色金属整装2抽活动柜","3","162","8","0","35","197","MFC-D2-B","T2398P171197","2抽鹅颈活动柜黑色","文件柜","70","110","仓库SKU规则推断：MFC-D2-B"
"高","95","B02BF-011BM","黑色金属不带床头板宽116折叠床","4","158","3","0","0","158","Bed-116","T2398P403870","黑色金属不带床头板折叠床L190*W116*H33cm
75*46*17","床","150","255","仓库SKU规则推断：Bed-116"
